title,link,level
"합승 택시 요금
          ",https://programmers.co.kr/learn/courses/30/lessons/72413,level-3
"여행경로
          ",https://programmers.co.kr/learn/courses/30/lessons/43164,level-3
"오랜 기간 보호한 동물(2)
          ",https://programmers.co.kr/learn/courses/30/lessons/59411,level-3
"헤비 유저가 소유한 장소
          ",https://programmers.co.kr/learn/courses/30/lessons/77487,level-3
"경주로 건설
          ",https://programmers.co.kr/learn/courses/30/lessons/67259,level-3
"보행자 천국
          ",https://programmers.co.kr/learn/courses/30/lessons/1832,level-3
"베스트앨범
          ",https://programmers.co.kr/learn/courses/30/lessons/42579,level-3
"호텔 방 배정
          ",https://programmers.co.kr/learn/courses/30/lessons/64063,level-4
"도둑질
          ",https://programmers.co.kr/learn/courses/30/lessons/42897,level-4
"보호소에서 중성화한 동물
          ",https://programmers.co.kr/learn/courses/30/lessons/59045,level-4
"입양 시각 구하기(2)
          ",https://programmers.co.kr/learn/courses/30/lessons/59413,level-4
"무지의 먹방 라이브
          ",https://programmers.co.kr/learn/courses/30/lessons/42891,level-4
"미로 탈출
          ",https://programmers.co.kr/learn/courses/30/lessons/81304,level-4
"몸짱 트레이너 라이언의 고민
          ",https://programmers.co.kr/learn/courses/30/lessons/1838,level-4
"가사 검색
          ",https://programmers.co.kr/learn/courses/30/lessons/60060,level-4
"동물의 아이디와 이름
          ",https://programmers.co.kr/learn/courses/30/lessons/59403,level-1
"이진 변환 반복하기
          ",https://programmers.co.kr/learn/courses/30/lessons/70129,level-2
"점프와 순간 이동
          ",https://programmers.co.kr/learn/courses/30/lessons/12980,level-2
"[1차] 캐시
          ",https://programmers.co.kr/learn/courses/30/lessons/17680,level-2
"DATETIME에서 DATE로 형 변환
          ",https://programmers.co.kr/learn/courses/30/lessons/59414,level-2
"길 찾기 게임
          ",https://programmers.co.kr/learn/courses/30/lessons/42892,level-3
"징검다리 건너기
          ",https://programmers.co.kr/learn/courses/30/lessons/64062,level-3
"기둥과 보 설치
          ",https://programmers.co.kr/learn/courses/30/lessons/60061,level-3
"섬 연결하기
          ",https://programmers.co.kr/learn/courses/30/lessons/42861,level-3
"광고 삽입
          ",https://programmers.co.kr/learn/courses/30/lessons/72414,level-3
"모두 0으로 만들기
          ",https://programmers.co.kr/learn/courses/30/lessons/76503,level-3
"3 x n 타일링
          ",https://programmers.co.kr/learn/courses/30/lessons/12902,level-4
"동굴 탐험
          ",https://programmers.co.kr/learn/courses/30/lessons/67260,level-4
"캠핑
          ",https://programmers.co.kr/learn/courses/30/lessons/1833,level-4
"시험장 나누기
          ",https://programmers.co.kr/learn/courses/30/lessons/81305,level-5
"튜브의 소개팅
          ",https://programmers.co.kr/learn/courses/30/lessons/1839,level-5
"[1차] 비밀지도
          ",https://programmers.co.kr/learn/courses/30/lessons/17681,level-1
"가운데 글자 가져오기
          ",https://programmers.co.kr/learn/courses/30/lessons/12903,level-1
"여러 기준으로 정렬하기
          ",https://programmers.co.kr/learn/courses/30/lessons/59404,level-1
"쿼드압축 후 개수 세기
          ",https://programmers.co.kr/learn/courses/30/lessons/68936,level-2
"스킬트리
          ",https://programmers.co.kr/learn/courses/30/lessons/49993,level-2
"매칭 점수
          ",https://programmers.co.kr/learn/courses/30/lessons/42893,level-3
"카드 짝 맞추기
          ",https://programmers.co.kr/learn/courses/30/lessons/72415,level-3
"단속카메라
          ",https://programmers.co.kr/learn/courses/30/lessons/42884,level-3
"110 옮기기
          ",https://programmers.co.kr/learn/courses/30/lessons/77886,level-3
"외벽 점검
          ",https://programmers.co.kr/learn/courses/30/lessons/60062,level-3
"스마트한 프로도
          ",https://programmers.co.kr/learn/courses/30/lessons/1840,level-5
"신비로운 유적 탐험
          ",https://programmers.co.kr/learn/courses/30/lessons/1834,level-5
"상위 n개 레코드
          ",https://programmers.co.kr/learn/courses/30/lessons/59405,level-1
"[1차] 다트 게임
          ",https://programmers.co.kr/learn/courses/30/lessons/17682,level-1
"방문 길이
          ",https://programmers.co.kr/learn/courses/30/lessons/49994,level-2
"풍선 터트리기
          ",https://programmers.co.kr/learn/courses/30/lessons/68646,level-3
"블록 이동하기
          ",https://programmers.co.kr/learn/courses/30/lessons/60063,level-3
"가장 긴 팰린드롬
          ",https://programmers.co.kr/learn/courses/30/lessons/12904,level-3
"매출 하락 최소화
          ",https://programmers.co.kr/learn/courses/30/lessons/72416,level-4
"블록 게임
          ",https://programmers.co.kr/learn/courses/30/lessons/42894,level-4
"RPG와 쿼리
          ",https://programmers.co.kr/learn/courses/30/lessons/76504,level-5
"IU와 콘의 보드게임
          ",https://programmers.co.kr/learn/courses/30/lessons/1841,level-5
"가장 큰 정사각형 찾기
          ",https://programmers.co.kr/learn/courses/30/lessons/12905,level-2
"[3차] 방금그곡
          ",https://programmers.co.kr/learn/courses/30/lessons/17683,level-2
"기지국 설치
          ",https://programmers.co.kr/learn/courses/30/lessons/12979,level-3
"스타 수열
          ",https://programmers.co.kr/learn/courses/30/lessons/70130,level-3
"네오의 귀걸이
          ",https://programmers.co.kr/learn/courses/30/lessons/1842,level-5
"중력 작용
          ",https://programmers.co.kr/learn/courses/30/lessons/77887,level-5
"같은 숫자는 싫어
          ",https://programmers.co.kr/learn/courses/30/lessons/12906,level-1
"[3차] 압축
          ",https://programmers.co.kr/learn/courses/30/lessons/17684,level-2
"숫자 게임
          ",https://programmers.co.kr/learn/courses/30/lessons/12987,level-3
"트리 트리오 중간값
          ",https://programmers.co.kr/learn/courses/30/lessons/68937,level-4
"거스름돈
          ",https://programmers.co.kr/learn/courses/30/lessons/12907,level-3
"스티커 모으기(2)
          ",https://programmers.co.kr/learn/courses/30/lessons/12971,level-3
"짝수 행 세기
          ",https://programmers.co.kr/learn/courses/30/lessons/68647,level-4
"[3차] 자동완성
          ",https://programmers.co.kr/learn/courses/30/lessons/17685,level-4
"올바른 괄호
          ",https://programmers.co.kr/learn/courses/30/lessons/12909,level-2
"[3차] 파일명 정렬
          ",https://programmers.co.kr/learn/courses/30/lessons/17686,level-2
"지형 편집
          ",https://programmers.co.kr/learn/courses/30/lessons/12984,level-4
"문자열의 아름다움
          ",https://programmers.co.kr/learn/courses/30/lessons/68938,level-5
"[3차] n진수 게임
          ",https://programmers.co.kr/learn/courses/30/lessons/17687,level-2
"쿠키 구입
          ",https://programmers.co.kr/learn/courses/30/lessons/49995,level-4
"직사각형의 넓이
          ",https://programmers.co.kr/learn/courses/30/lessons/12974,level-5
"가짜 해밀토니안
          ",https://programmers.co.kr/learn/courses/30/lessons/70132,level-5
"나누어 떨어지는 숫자 배열
          ",https://programmers.co.kr/learn/courses/30/lessons/12910,level-1
"다음 큰 숫자
          ",https://programmers.co.kr/learn/courses/30/lessons/12911,level-2
"두 정수 사이의 합
          ",https://programmers.co.kr/learn/courses/30/lessons/12912,level-1
"땅따먹기
          ",https://programmers.co.kr/learn/courses/30/lessons/12913,level-2
"멀리 뛰기
          ",https://programmers.co.kr/learn/courses/30/lessons/12914,level-3
"문자열 내 마음대로 정렬하기
          ",https://programmers.co.kr/learn/courses/30/lessons/12915,level-1
